Type,Timestamp,Game ID,Player ID,Player GUID,Colour,Role
Type,Timestamp,Game ID,Player ID,Player GUID,Colour,Role
discover,2018-06-08 09:04:49,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
discover,2018-06-08 09:04:49,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
discover,2018-06-08 09:04:49,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
discover,2018-06-08 09:04:49,1,4,248b70b6-a328-463f-b9ea-3e1c4f67110c,Blue,Member
move,2018-06-08 09:04:49,1,4,248b70b6-a328-463f-b9ea-3e1c4f67110c,Blue,Member
move,2018-06-08 09:04:49,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
move,2018-06-08 09:04:49,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:49,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
move,2018-06-08 09:04:49,1,4,248b70b6-a328-463f-b9ea-3e1c4f67110c,Blue,Member
move,2018-06-08 09:04:49,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
move,2018-06-08 09:04:49,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:49,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
move,2018-06-08 09:04:49,1,4,248b70b6-a328-463f-b9ea-3e1c4f67110c,Blue,Member
move,2018-06-08 09:04:49,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
move,2018-06-08 09:04:49,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:49,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
move,2018-06-08 09:04:49,1,4,248b70b6-a328-463f-b9ea-3e1c4f67110c,Blue,Member
move,2018-06-08 09:04:49,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
move,2018-06-08 09:04:49,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:49,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
move,2018-06-08 09:04:49,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
move,2018-06-08 09:04:49,1,4,248b70b6-a328-463f-b9ea-3e1c4f67110c,Blue,Member
move,2018-06-08 09:04:49,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:49,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
move,2018-06-08 09:04:49,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
move,2018-06-08 09:04:49,1,4,248b70b6-a328-463f-b9ea-3e1c4f67110c,Blue,Member
move,2018-06-08 09:04:49,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
move,2018-06-08 09:04:49,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:49,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
move,2018-06-08 09:04:49,1,4,248b70b6-a328-463f-b9ea-3e1c4f67110c,Blue,Member
move,2018-06-08 09:04:49,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
move,2018-06-08 09:04:49,1,4,248b70b6-a328-463f-b9ea-3e1c4f67110c,Blue,Member
move,2018-06-08 09:04:49,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:49,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
move,2018-06-08 09:04:49,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
move,2018-06-08 09:04:50,1,4,248b70b6-a328-463f-b9ea-3e1c4f67110c,Blue,Member
move,2018-06-08 09:04:50,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:50,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
pickup,2018-06-08 09:04:50,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
move,2018-06-08 09:04:50,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
pickup,2018-06-08 09:04:50,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
test,2018-06-08 09:04:50,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
move,2018-06-08 09:04:50,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
move,2018-06-08 09:04:50,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:50,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
move,2018-06-08 09:04:50,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:50,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
move,2018-06-08 09:04:50,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
move,2018-06-08 09:04:50,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:50,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
pickup,2018-06-08 09:04:50,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
move,2018-06-08 09:04:50,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:50,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
move,2018-06-08 09:04:50,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:50,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
test,2018-06-08 09:04:50,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
place,2018-06-08 09:04:50,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:50,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
move,2018-06-08 09:04:50,1,3,1d7b4dd5-049c-4a99-9a60-e7d0b83334e2,Blue,Leader
move,2018-06-08 09:04:50,1,2,50bd5251-3e33-40eb-938e-afc346cc1e8f,Red,Member
move,2018-06-08 09:04:50,1,1,960aceca-411e-43a7-924f-66d657e458e7,Red,Leader
